#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 01:28:08.904
#Sample rate: 5e+07Hz
#Samples: 16384

Time (s),clk,ser3,ser1,ser2,rclk,srclk
-7.632e-05,0,0,0,0,0,0
-7.63e-05,0,0,0,0,0,0
-7.627999999999999e-05,0,0,0,0,0,0
-7.626000000000001e-05,0,0,0,0,0,0
-7.624e-05,0,0,0,0,0,0
-7.622e-05,0,0,0,0,0,0
-7.62e-05,0,0,0,0,0,0
-7.618000000000001e-05,0,0,0,0,0,0
-7.616e-05,0,0,0,0,0,0
-7.614e-05,0,0,0,0,0,0
-7.612e-05,0,0,0,0,0,0
-7.610000000000001e-05,0,0,0,0,0,0
-7.608e-05,0,0,0,0,0,0
-7.606e-05,0,0,0,0,0,0
-7.604e-05,0,0,0,0,0,0
-7.601999999999999e-05,0,0,0,0,0,0
-7.6e-05,0,0,0,0,0,0
-7.598e-05,0,0,0,0,0,0
-7.596e-05,0,0,0,0,0,0
-7.593999999999999e-05,0,0,0,0,0,0
-7.592e-05,0,0,0,0,0,0
-7.59e-05,0,0,0,0,0,0
-7.588e-05,0,0,0,0,0,0
-7.586e-05,0,0,0,0,0,0
-7.584000000000001e-05,0,0,0,0,0,0
-7.582e-05,0,0,0,0,0,0
-7.58e-05,0,0,0,0,0,0
-7.578e-05,0,0,0,0,0,0
-7.576000000000001e-05,0,0,0,0,0,0
-7.574e-05,0,0,0,0,0,0
-7.572e-05,0,0,0,0,0,0
-7.57e-05,0,0,0,0,0,0
-7.567999999999999e-05,0,0,0,0,0,0
-7.566e-05,0,0,0,0,0,0
-7.564e-05,0,0,0,0,0,0
-7.562e-05,0,0,0,0,0,0
-7.559999999999999e-05,0,0,0,0,0,0
-7.558e-05,0,0,0,0,0,0
-7.556e-05,0,0,0,0,0,0
-7.554e-05,0,0,0,0,0,0
-7.552e-05,0,0,0,0,0,0
-7.550000000000001e-05,0,0,0,0,0,0
-7.548e-05,0,0,0,0,0,0
-7.546e-05,0,0,0,0,0,0
-7.544e-05,0,0,0,0,0,0
-7.542000000000001e-05,0,0,0,0,0,0
-7.54e-05,0,0,0,0,0,0
-7.538e-05,0,0,0,0,0,0
-7.536e-05,0,0,0,0,0,0
-7.533999999999999e-05,0,0,0,0,0,0
-7.532e-05,0,0,0,0,0,0
-7.53e-05,0,0,0,0,0,0
-7.528e-05,0,0,0,0,0,0
-7.525999999999999e-05,0,0,0,0,0,0
-7.524e-05,0,0,0,0,0,0
-7.522e-05,0,0,0,0,0,0
-7.52e-05,0,0,0,0,0,0
-7.518e-05,0,0,0,0,0,0
-7.516000000000001e-05,0,0,0,0,0,0
-7.514e-05,0,0,0,0,0,0
-7.512e-05,0,0,0,0,0,0
-7.51e-05,0,0,0,0,0,0
-7.508000000000001e-05,0,0,0,0,0,0
-7.506e-05,0,0,0,0,0,0
-7.504e-05,0,0,0,0,0,0
-7.502e-05,0,0,0,0,0,0
-7.499999999999999e-05,0,0,0,0,0,0
-7.498e-05,0,0,0,0,0,0
-7.496e-05,0,0,0,0,0,0
-7.494e-05,0,0,0,0,0,0
-7.491999999999999e-05,0,0,0,0,0,0
-7.49e-05,0,0,0,0,0,0
-7.488e-05,0,0,0,0,0,0
-7.486e-05,0,0,0,0,0,0
-7.483999999999999e-05,0,0,0,0,0,0
-7.482000000000001e-05,0,0,0,0,0,0
