#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 10:09:01.613
#Sample rate: 2.5e+07Hz
#Samples: 16384

Time (s),ser3,ser1,ser2,rclk,srclk,clk
0.0004452,0,0,0,1,0,0
0.00044524,0,0,0,1,0,0
0.00044528,0,0,0,1,0,0
0.00044532,0,0,0,1,0,0
0.00044536,0,0,0,1,0,0
0.0004454,0,0,0,1,0,1
0.00044544,0,0,0,1,0,1
0.00044548,0,0,0,1,0,1
0.00044552,0,0,0,1,0,1
0.00044556,0,0,0,1,0,1
0.0004456,0,0,0,1,0,1
0.00044564,0,0,0,1,0,1
0.00044568,0,0,0,1,0,1
0.00044572,0,0,0,1,0,1
0.00044576,0,0,0,1,0,1
0.0004458,0,0,0,1,0,1
0.00044584,0,0,0,1,0,1
0.00044588,0,0,0,1,0,1
0.00044592,0,0,0,1,0,1
0.00044596,0,0,0,1,0,1
0.000446,0,0,0,1,0,1
0.00044604,0,0,0,1,0,1
0.00044608,0,0,0,1,0,1
0.00044612,0,0,0,1,0,1
0.00044616,0,0,0,1,0,1
0.0004462,0,0,0,1,0,1
0.00044624,0,0,0,1,0,1
0.00044628,0,0,0,1,0,1
0.00044632,0,0,0,1,0,1
0.00044636,0,0,0,1,0,1
0.0004464,0,0,0,1,0,1
0.00044644,0,0,0,0,0,0
0.00044648,0,0,0,0,0,0
0.00044652,0,0,0,0,0,0
0.00044656,0,0,0,0,0,0
0.0004466,0,0,0,0,0,0
0.00044664,0,0,0,0,0,0
0.00044668,0,0,0,0,0,0
0.00044672,0,0,0,0,0,0
0.00044676,0,0,0,0,0,0
0.0004468,0,0,0,0,0,0
0.00044684,0,0,0,0,0,0
0.00044688,0,0,0,0,0,0
0.00044692,0,0,0,0,0,0
0.00044696,0,0,0,0,0,0
0.000447,0,0,0,0,0,0
0.00044704,0,0,0,0,0,0
0.00044708,0,0,0,0,0,0
0.00044712,0,0,0,0,0,0
0.00044716,0,0,0,0,0,0
0.0004472,0,0,0,0,0,0
0.00044724,0,0,0,0,0,0
0.00044728,0,0,0,0,0,0
0.00044732,0,0,0,0,0,0
0.00044736,0,0,0,0,0,0
0.0004474,0,0,0,0,0,0
0.00044744,0,0,0,0,0,0
0.00044748,0,0,0,0,0,1
0.00044752,0,0,0,0,0,1
0.00044756,0,0,0,0,0,1
0.0004476,0,0,0,0,0,1
0.00044764,0,0,0,0,0,1
0.00044768,0,0,0,0,0,1
0.00044772,0,0,0,0,0,1
0.00044776,0,0,0,0,0,1
0.0004478,0,0,0,0,0,1
0.00044784,0,0,0,0,0,1
0.00044788,0,0,0,0,0,1
0.00044792,0,0,0,0,0,1
0.00044796,0,0,0,0,0,1
0.000448,0,0,0,0,0,1
0.00044804,0,0,0,0,0,1
0.00044808,0,0,0,0,0,1
0.00044812,0,0,0,0,0,1
0.00044816,0,0,0,0,0,1
0.0004482,0,0,0,0,0,1
0.00044824,0,0,0,0,0,1
0.00044828,0,0,0,0,0,1
0.00044832,0,0,0,0,0,1
0.00044836,0,0,0,0,0,1
0.0004484,0,0,0,0,0,1
0.00044844,0,0,0,0,0,1
0.00044848,0,0,0,0,0,0
0.00044852,0,0,0,0,0,0
0.00044856,0,0,0,0,0,0
0.0004486,0,0,0,0,0,0
0.00044864,0,0,0,0,0,0
0.00044868,0,0,0,0,0,0
0.00044872,0,0,0,0,0,0
0.00044876,0,0,0,0,0,0
0.0004488,0,0,0,0,0,0
0.00044884,0,0,0,0,0,0
0.00044888,0,0,0,0,0,0
0.00044892,0,0,0,0,0,0
0.00044896,0,0,0,0,0,0
0.000449,0,0,0,0,0,0
0.00044904,0,0,0,0,0,0
0.00044908,0,0,0,0,0,0
0.00044912,0,0,0,0,0,0
0.00044916,0,0,0,0,0,0
0.0004492,0,0,0,0,0,0
0.00044924,0,0,0,0,0,0
0.00044928,0,0,0,0,0,0
0.00044932,0,0,0,0,0,0
0.00044936,0,0,0,0,0,0
0.0004494,0,0,0,0,0,0
0.00044944,0,0,0,0,0,0
0.00044948,0,0,0,0,0,0
0.00044952,0,0,0,0,0,1
0.00044956,0,0,0,0,0,1
0.0004496,0,0,0,0,0,1
0.00044964,0,0,0,0,0,1
0.00044968,0,0,0,0,0,1
0.00044972,0,0,0,0,0,1
0.00044976,0,0,0,0,0,1
0.0004498,0,0,0,0,0,1
0.00044984,0,0,0,0,0,1
0.00044988,0,0,0,0,0,1
0.00044992,0,0,0,0,0,1
0.00044996,0,0,0,0,0,1
0.00045,0,0,0,0,0,1
0.00045004,0,0,0,0,0,1
0.00045008,0,0,0,0,0,1
0.00045012,0,0,0,0,0,1
0.00045016,0,0,0,0,0,1
0.0004502,0,0,0,0,0,1
0.00045024,0,0,0,0,0,1
0.00045028,0,0,0,0,0,1
0.00045032,0,0,0,0,0,1
0.00045036,0,0,0,0,0,1
0.0004504,0,0,0,0,0,1
0.00045044,0,0,0,0,0,1
0.00045048,0,0,0,0,0,1
0.00045052,0,0,0,1,0,0
0.00045056,0,0,0,1,0,0
0.0004506,0,0,0,1,0,0
0.00045064,0,0,0,1,0,0
0.00045068,0,0,0,0,1,0
0.00045072,0,0,0,0,1,0
0.00045076,0,0,0,0,1,0
0.0004508,1,0,0,0,0,0
0.00045084,1,0,0,0,0,0
0.00045088,1,0,0,0,0,0
0.00045092,1,0,0,0,1,0
0.00045096,1,0,0,0,1,0
0.000451,1,0,0,0,1,0
0.00045104,1,0,0,0,0,0
0.00045108,1,0,0,0,0,0
0.00045112,1,0,0,0,0,0
0.00045116,1,0,0,0,1,0
0.0004512,1,0,0,0,1,0
0.00045124,1,0,0,0,1,0
0.00045128,1,0,0,0,1,0
0.00045132,0,0,0,0,0,0
0.00045136,0,0,0,0,0,0
0.0004514,0,0,0,0,0,0
0.00045144,0,0,0,0,1,0
0.00045148,0,0,0,0,1,0
0.00045152,0,0,0,0,1,0
0.00045156,0,0,0,0,0,1
0.0004516,0,0,0,0,0,1
0.00045164,0,0,0,0,0,1
0.00045168,0,0,0,0,1,1
0.00045172,0,0,0,0,1,1
0.00045176,0,0,0,0,1,1
0.0004518,1,0,0,0,0,1
0.00045184,1,0,0,0,0,1
0.00045188,1,0,0,0,0,1
0.00045192,1,0,0,0,0,1
0.00045196,1,0,0,0,1,1
0.000452,1,0,0,0,1,1
0.00045204,1,0,0,0,1,1
0.00045208,0,0,0,0,0,1
0.00045212,0,0,0,0,0,1
0.00045216,0,0,0,0,0,1
0.0004522,0,0,0,0,1,1
0.00045224,0,0,0,0,1,1
0.00045228,0,0,0,0,1,1
0.00045232,0,0,0,0,0,1
0.00045236,0,0,0,0,0,1
0.0004524,0,0,0,0,0,1
0.00045244,0,0,0,0,1,1
0.00045248,0,0,0,0,1,1
0.00045252,0,0,0,0,1,1
0.00045256,0,0,0,0,1,1
0.0004526,0,0,0,1,0,0
0.00045264,0,0,0,1,0,0
0.00045268,0,0,0,1,0,0
0.00045272,0,0,0,0,1,0
0.00045276,0,0,0,0,1,0
0.0004528,0,0,0,0,1,0
0.00045284,0,0,0,0,0,0
0.00045288,0,0,0,0,0,0
0.00045292,0,0,0,0,0,0
0.00045296,0,0,0,0,1,0
0.000453,0,0,0,0,1,0
0.00045304,0,0,0,0,1,0
0.00045308,0,0,0,0,0,0
0.00045312,0,0,0,0,0,0
0.00045316,0,0,0,0,0,0
0.0004532,0,0,0,0,0,0
0.00045324,0,0,0,0,1,0
0.00045328,0,0,0,0,1,0
0.00045332,0,0,0,0,1,0
0.00045336,0,0,0,0,0,0
0.0004534,0,0,0,0,0,0
0.00045344,0,0,0,0,0,0
0.00045348,0,0,0,0,1,0
0.00045352,0,0,0,0,1,0
0.00045356,0,0,0,0,1,0
0.0004536,1,0,0,0,0,1
0.00045364,1,0,0,0,0,1
0.00045368,1,0,0,0,0,1
0.00045372,1,0,0,0,1,1
0.00045376,1,0,0,0,1,1
0.0004538,1,0,0,0,1,1
0.00045384,1,0,0,0,1,1
0.00045388,1,0,0,0,0,1
0.00045392,1,0,0,0,0,1
0.00045396,1,0,0,0,0,1
0.000454,1,0,0,0,1,1
0.00045404,1,0,0,0,1,1
0.00045408,1,0,0,0,1,1
0.00045412,0,0,0,0,0,1
0.00045416,0,0,0,0,0,1
0.0004542,0,0,0,0,0,1
0.00045424,0,0,0,0,1,1
0.00045428,0,0,0,0,1,1
0.00045432,0,0,0,0,1,1
0.00045436,0,0,0,0,0,1
0.0004544,0,0,0,0,0,1
0.00045444,0,0,0,0,0,1
0.00045448,0,0,0,0,0,1
0.00045452,0,0,0,0,1,1
0.00045456,0,0,0,0,1,1
0.0004546,0,0,0,0,1,1
0.00045464,0,0,0,1,0,0
0.00045468,0,0,0,1,0,0
0.00045472,0,0,0,1,0,0
0.00045476,0,0,0,0,1,0
0.0004548,0,0,0,0,1,0
0.00045484,0,0,0,0,1,0
0.00045488,1,0,1,0,0,0
0.00045492,1,0,1,0,0,0
0.00045496,1,0,1,0,0,0
0.000455,1,0,1,0,1,0
0.00045504,1,0,1,0,1,0
0.00045508,1,0,1,0,1,0
0.00045512,1,0,1,0,1,0
0.00045516,0,0,0,0,0,0
0.0004552,0,0,0,0,0,0
0.00045524,0,0,0,0,0,0
0.00045528,0,0,0,0,1,0
0.00045532,0,0,0,0,1,0
0.00045536,0,0,0,0,1,0
0.0004554,1,0,0,0,0,0
0.00045544,1,0,0,0,0,0
0.00045548,1,0,0,0,0,0
0.00045552,1,0,0,0,1,0
0.00045556,1,0,0,0,1,0
0.0004556,1,0,0,0,1,0
0.00045564,0,0,0,0,0,1
0.00045568,0,0,0,0,0,1
0.00045572,0,0,0,0,0,1
0.00045576,0,0,0,0,0,1
0.0004558,0,0,0,0,1,1
0.00045584,0,0,0,0,1,1
0.00045588,0,0,0,0,1,1
0.00045592,1,0,0,0,0,1
0.00045596,1,0,0,0,0,1
0.000456,1,0,0,0,0,1
0.00045604,1,0,0,0,1,1
0.00045608,1,0,0,0,1,1
0.00045612,1,0,0,0,1,1
0.00045616,0,0,0,0,0,1
0.0004562,0,0,0,0,0,1
0.00045624,0,0,0,0,0,1
0.00045628,0,0,0,0,1,1
0.00045632,0,0,0,0,1,1
0.00045636,0,0,0,0,1,1
0.0004564,0,0,0,0,1,1
0.00045644,0,0,0,0,0,1
0.00045648,0,0,0,0,0,1
0.00045652,0,0,0,0,0,1
0.00045656,0,0,0,0,1,1
0.0004566,0,0,0,0,1,1
0.00045664,0,0,0,0,1,1
0.00045668,0,0,0,1,0,0
0.00045672,0,0,0,1,0,0
0.00045676,0,0,0,1,0,0
0.0004568,0,0,0,0,1,0
0.00045684,0,0,0,0,1,0
0.00045688,0,0,0,0,1,0
0.00045692,0,0,0,0,0,0
0.00045696,0,0,0,0,0,0
0.000457,0,0,0,0,0,0
0.00045704,0,0,0,0,0,0
0.00045708,0,0,0,0,1,0
0.00045712,0,0,0,0,1,0
0.00045716,0,0,0,0,1,0
0.0004572,0,0,0,0,0,0
0.00045724,0,0,0,0,0,0
0.00045728,0,0,0,0,0,0
0.00045732,0,0,0,0,1,0
0.00045736,0,0,0,0,1,0
0.0004574,0,0,0,0,1,0
0.00045744,0,0,0,0,0,0
0.00045748,0,0,0,0,0,0
0.00045752,0,0,0,0,0,0
0.00045756,0,0,0,0,1,0
0.0004576,0,0,0,0,1,0
0.00045764,0,0,0,0,1,0
0.00045768,0,0,0,0,1,0
0.00045772,1,0,0,0,0,1
0.00045776,1,0,0,0,0,1
0.0004578,1,0,0,0,0,1
0.00045784,1,0,0,0,1,1
0.00045788,1,0,0,0,1,1
0.00045792,1,0,0,0,1,1
0.00045796,1,0,0,0,0,1
0.000458,1,0,0,0,0,1
0.00045804,1,0,0,0,0,1
0.00045808,1,0,0,0,1,1
0.00045812,1,0,0,0,1,1
0.00045816,1,0,0,0,1,1
0.0004582,0,0,0,0,0,1
0.00045824,0,0,0,0,0,1
0.00045828,0,0,0,0,0,1
0.00045832,0,0,0,0,0,1
0.00045836,0,0,0,0,1,1
0.0004584,0,0,0,0,1,1
0.00045844,0,0,0,0,1,1
0.00045848,0,0,0,0,0,1
0.00045852,0,0,0,0,0,1
0.00045856,0,0,0,0,0,1
0.0004586,0,0,0,0,1,1
0.00045864,0,0,0,0,1,1
0.00045868,0,0,0,0,1,1
0.00045872,0,0,0,1,0,0
0.00045876,0,0,0,1,0,0
0.0004588,0,0,0,1,0,0
0.00045884,0,0,0,1,0,0
0.00045888,0,0,0,1,0,0
0.00045892,0,0,0,1,0,0
0.00045896,0,0,0,1,0,0
0.000459,0,0,0,1,0,0
0.00045904,0,0,0,1,0,0
0.00045908,0,0,0,1,0,0
0.00045912,0,0,0,1,0,0
0.00045916,0,0,0,1,0,0
0.0004592,0,0,0,1,0,0
0.00045924,0,0,0,1,0,0
0.00045928,0,0,0,1,0,0
0.00045932,0,0,0,1,0,0
0.00045936,0,0,0,1,0,0
0.0004594,0,0,0,1,0,0
0.00045944,0,0,0,1,0,0
0.00045948,0,0,0,1,0,0
0.00045952,0,0,0,1,0,0
0.00045956,0,0,0,1,0,0
0.0004596,0,0,0,1,0,0
0.00045964,0,0,0,1,0,0
0.00045968,0,0,0,1,0,0
0.00045972,0,0,0,1,0,0
0.00045976,0,0,0,1,0,1
0.0004598,0,0,0,1,0,1
0.00045984,0,0,0,1,0,1
0.00045988,0,0,0,1,0,1
0.00045992,0,0,0,1,0,1
0.00045996,0,0,0,1,0,1
0.00046,0,0,0,1,0,1
0.00046004,0,0,0,1,0,1
0.00046008,0,0,0,1,0,1
0.00046012,0,0,0,1,0,1
0.00046016,0,0,0,1,0,1
0.0004602,0,0,0,1,0,1
0.00046024,0,0,0,1,0,1
0.00046028,0,0,0,1,0,1
0.00046032,0,0,0,1,0,1
0.00046036,0,0,0,1,0,1
0.0004604,0,0,0,1,0,1
0.00046044,0,0,0,1,0,1
0.00046048,0,0,0,1,0,1
0.00046052,0,0,0,1,0,1
0.00046056,0,0,0,1,0,1
0.0004606,0,0,0,1,0,1
0.00046064,0,0,0,1,0,1
0.00046068,0,0,0,1,0,1
0.00046072,0,0,0,1,0,1
0.00046076,0,0,0,1,0,0
0.0004608,0,0,0,1,0,0
0.00046084,0,0,0,1,0,0
0.00046088,0,0,0,1,0,0
0.00046092,0,0,0,1,0,0
0.00046096,0,0,0,1,0,0
0.000461,0,0,0,1,0,0
0.00046104,0,0,0,1,0,0
0.00046108,0,0,0,1,0,0
0.00046112,0,0,0,1,0,0
0.00046116,0,0,0,1,0,0
0.0004612,0,0,0,1,0,0
0.00046124,0,0,0,1,0,0
0.00046128,0,0,0,1,0,0
0.00046132,0,0,0,1,0,0
0.00046136,0,0,0,1,0,0
0.0004614,0,0,0,1,0,0
0.00046144,0,0,0,1,0,0
0.00046148,0,0,0,1,0,0
0.00046152,0,0,0,1,0,0
0.00046156,0,0,0,1,0,0
0.0004616,0,0,0,1,0,0
0.00046164,0,0,0,1,0,0
0.00046168,0,0,0,1,0,0
0.00046172,0,0,0,1,0,0
0.00046176,0,0,0,1,0,0
0.0004618,0,0,0,1,0,1
0.00046184,0,0,0,1,0,1
0.00046188,0,0,0,1,0,1
0.00046192,0,0,0,1,0,1
0.00046196,0,0,0,1,0,1
0.000462,0,0,0,1,0,1
0.00046204,0,0,0,1,0,1
0.00046208,0,0,0,1,0,1
0.00046212,0,0,0,1,0,1
0.00046216,0,0,0,1,0,1
0.0004622,0,0,0,1,0,1
0.00046224,0,0,0,1,0,1
0.00046228,0,0,0,1,0,1
0.00046232,0,0,0,1,0,1
0.00046236,0,0,0,1,0,1
0.0004624,0,0,0,1,0,1
0.00046244,0,0,0,1,0,1
0.00046248,0,0,0,1,0,1
0.00046252,0,0,0,1,0,1
0.00046256,0,0,0,1,0,1
0.0004626,0,0,0,1,0,1
0.00046264,0,0,0,1,0,1
0.00046268,0,0,0,1,0,1
0.00046272,0,0,0,1,0,1
0.00046276,0,0,0,1,0,1
0.0004628,0,0,0,1,0,1
0.00046284,0,0,0,1,0,0
0.00046288,0,0,0,1,0,0
0.00046292,0,0,0,1,0,0
0.00046296,0,0,0,1,0,0
