#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2025-01-07 22:35:35.285
#Sample rate: 1e+08Hz
#Samples: 16384

Time (s),ser3,ser1,ser2,rclk,clk,Bus
-7.497e-05,0,0,0,1,0,h00
-7.496e-05,0,0,0,1,0,h00
-7.495000000000001e-05,0,0,0,1,0,h00
-7.494e-05,0,0,0,1,1,h00
-7.493e-05,0,0,0,1,1,h00
-7.491999999999999e-05,0,0,0,1,1,h00
-7.491e-05,0,0,0,1,1,h00
-7.49e-05,0,0,0,1,1,h00
-7.489e-05,0,0,0,1,1,h00
-7.488e-05,0,0,0,1,0,h00
-7.487000000000001e-05,0,0,0,1,0,h00
-7.486e-05,0,0,0,1,0,h00
-7.485e-05,0,0,0,1,0,h00
-7.483999999999999e-05,0,0,0,1,0,h00
-7.483e-05,0,0,0,1,0,h00
-7.482000000000001e-05,0,0,0,1,0,h00
-7.481e-05,0,0,0,1,1,h00
